uclalsc_uars100_001_001,Exterior,Harbor,General,Hospital,
uclalsc_uars100_002_001,Model,UCLA,medical,center,
uclalsc_uars100_002_002,Labelled,model,UCLA,medical,center,
uclalsc_uars100_002_003,Drawing,UCLA,medical,center,
uclalsc_uars100_002_004,Model,three,stories,medical,center,
uclalsc_uars100_002_005,Labelled,model,UCLA,medical,center,
uclalsc_uars100_002_006,Model,UCLA,medical,center,
uclalsc_uars100_002_007,Model,UCLA,medical,center,surrounding,driveway,
uclalsc_uars100_002_008,Model,UCLA,medical,center,surrounding,driveway,
uclalsc_uars100_002_009,Research,Development,Laboratory,model,
uclalsc_uars100_016_036,Looking,northeast,UCLA,Medical,Center,construction,1952,
uclalsc_uars100_016_037,Looking,northeast,UCLA,Medical,Center,construction,1952,
uclalsc_uars100_016_038,Looking,southwest,UCLA,Medical,Center,construction,1952,
uclalsc_uars100_016_039,Looking,southwest,northeast,wing,1952,
uclalsc_uars100_016_040,Looking,northwest,southeast,wing,1952,
